USERNAME, HITS
charlie.9087, 0
charlie.9088, 0
pnc.409, 3774
pnc.408, 3806
ddurgemp12@nvrinc.com, 0
10sixty.510, 0
bobnadeau@covertauto.com, 2549
10sixty.515, 0
10sixty.516, 0
10sixty.519, 0
charlie.9080, 0
charlie.9083, 0
pnc.516, 2019
10sixty.521, 0
MCSRivvit1, 979
10sixty.526, 0
10sixty.404, 0
10sixty.528, 0
10sixty.409, 0
pnc.514, 1996
charlie.9091, 0
charlie.9092, 9
pnc.508, 2250
foktem, 0
ddurgemp13@nvrinc.com, 0
rivvit.410, 4183
new.eagle.497, 0
MCSDeluxeAds, 108
rivvit.416, 2887
rivvit.415, 3718
rivvit.418, 2954
axiom.440, 0
new.eagle.491, 0
new.eagle.492, 0
UKD037516, 27
MCSMood, 469
rivvit.414, 3424
charlie.9060, 0
napoleonglobal, 0
EHTISHAM, 7584
10sixty.502, 0
axiom.435, 1641
rivvit.421, 3474
rivvit.420, 2207
mood.405, 0
mood.406, 0
rivvit.426, 0
charlie.9072, 0
charlie.9073, 0
charlie.9070, 0
rivvit.425, 0
charlie.9071, 0
kteam.405, 11370
kteam.404, 8238
m_peel, 603
kteam.407, 6466
kteam.406, 8414
10sixty.553, 0
alpha.830, 2429
new.eagle.473, 0
new.eagle.479, 0
nataport479, 0
new.eagle.470, 0
UKD038330, 53
ian@smj-freight.com, 4610
kteam.426, 3528
kteam.425, 1073
kteam.424, 1249
pchavez@hedrickschevy.com, 294
10sixty.410, 0
reecehudson@covertauto.com, 0
10sixty.412, 0
10sixty.413, 0
10sixty.415, 0
10sixty.417, 0
ehtisham, 7584
supportpk, 5638
kteam.423, 1298
evexia.564, 0
evexia.565, 16
ddurgemp_335586, 0
10sixty.423, 9
10sixty.422, 0
betomartinez@covertauto.com, 225
new.eagle.462, 0
UKD034319, 0
tonysmith@covertauto.com, 224
czygiel, 0
alpha.7063, 6279
alpha.7061, 4414
alpha.7060, 0
alpha.7066, 6431
charlie.9010, 0
alpha.7050, 2192
charlie.9015, 0
alpha.7610, 2872
alpha.7058, 5147
umair.ahmad, 628
alpha.808, 651
alpha.7048, 4301
alpha.7045, 9645
new.eagle.409, 0
alpha.7046, 3122
CovertPurpleCloud, 237
alpha.7043, 2040
alpha.7044, 2744
alpha.7608, 4106
alpha.7606, 2533
new.eagle.413, 0
pnc.467, 1500
alpha.7031, 9818
vivek.nagar_plaxonic, 0
alpha.828, 7746
new.eagle.416, 0
mcornejo@hedrickschevy.com, 29
alpha.7032, 3888
pnc.451, 2444
pnc.450, 3106
new.eagle.421, 0
new.eagle.423, 0
pnc.459, 1416
pnc.457, 1319
pnc.454, 766
charlie.9047, 0
charlie.9045, 0
pnc.449, 2317
mood.443, 0
new.eagle.504, 0
mood.444, 2805
evexia.519, 9
Ahmed_Dc, 5574
2080042002, 0
watch.816, 0
mood.440, 4038
pnc.440, 2529
watch.808, 0
mood.436, 0
mood.438, 1218
cmc.407, 0
mood.439, 1970
pnc.448, 1301
pnc.446, 3384
pnc.445, 1566
pnc.443, 2284
charlie.9040, 0
pnc.442, 1921
pnc.441, 2256
rivvit.409, 3483
charlie.9058, 9
luiscastro@covertauto.com, 213
pnc.439, 1926
charlie.9057, 0
pnc.438, 2416
mood.432, 3550
mood.433, 3902
mood.434, 0
alpha.7012, 8473
alpha.7010, 15913
mood.429, 6715
mood.425, 0
cmc.418, 0
mood.428, 7172
pnc.437, 2096
pnc.435, 2740
rivvit.406, 5209
sam_digitalbulls, 2396
pnc.431, 1742
pnc.430, 1460
charlie.9021, 0
charlie.9020, 0
watch.830, 0
charlie.9029, 0
alpha.7006, 5932
charlie.9027, 0
edtorres@covertauto.com, 681
alpha.7003, 6548
charlie.9028, 0
cmc.423, 0
Tsuferri, 2
pnc.425, 2305
pnc.543, 0
pnc.421, 4262
charlie.9032, 0
charlie.9030, 73
charlie.9031, 0
charlie.9036, 0
pnc.419, 3189
pnc.539, 0
pnc.418, 2927
pnc.538, 0
charlie.9035, 0
pnc.416, 2496
mood.454, 0
watch.823, 9
charlie.9038, 0
pnc.414, 4027
pnc.413, 3298
rivvit.505, 3123
ctatum@hedrickschevy.com, 100
pnc.410, 3365


